event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,team
5,53,329,6811130,6814575,2080597,70,4,1000,1,0,2,Röhl With It
6,54,383,3999388,4003217,1930747,40,4,997,0,0,2,Röhl With It
7,35,418,8567793,8571401,2832038,85,4,998,0,0,10,Röhl With It
8,32,450,6649141,6656814,3250217,65,4,1000,0,0,7,Röhl With It
9,48,498,7425927,7430194,3875699,75,4,999,0,0,8,Röhl With It
10,42,540,4249236,4249638,3751126,40,15,1000,4,0,6,Röhl With It
11,43,583,6859827,6864655,4136362,65,9,1003,0,0,15,Röhl With It
12,29,612,9859859,9861567,5167670,95,9,1004,0,0,6,Röhl With It
13,80,688,1515287,1516332,4439107,15,2,1004,3,4,7,Röhl With It
14,45,733,8838989,8841609,5010059,85,2,1004,0,0,4,Röhl With It
15,55,788,3993868,3999407,4865332,40,2,1004,0,0,2,Röhl With It
16,60,848,1662066,1662883,4394218,20,2,1001,3,0,8,Röhl With It
17,48,896,7595798,7596977,4894307,70,3,1003,1,0,1,Röhl With It
18,46,942,7201066,7202502,5094165,70,10,1003,1,0,10,Röhl With It
19,56,998,7900127,7903027,5402435,75,10,1007,0,0,9,Röhl With It
20,72,1070,2449465,2452079,5140045,25,1,1013,2,0,30,Röhl With It
21,31,1101,10265779,10265907,5738703,95,12,1013,1,0,15,Röhl With It
22,39,1140,7926088,7933676,5870717,75,12,1016,0,0,17,Röhl With It
23,62,1198,4819136,4820245,5926343,45,1,1017,3,4,13,Röhl With It
24,125,1323,1572583,1575368,5174719,15,9,1017,1,0,0,Röhl With It
25,66,1389,7535946,7537700,5394227,70,9,1017,0,0,8,Röhl With It
26,76,1465,3065082,3069294,5251594,30,9,1015,0,0,15,Röhl With It
27,46,1511,8622870,8628730,5366492,80,5,1008,0,0,17,Röhl With It
28,69,1580,1475425,1476050,5196710,15,22,1012,3,0,22,Röhl With It
29,37,1617,6013285,6015633,5216983,55,21,1015,1,0,0,Röhl With It
